"","EntryPublished","quarter","the_day","EntryTitle","region","keyword","dayweek","month","year","RSS","EntryContent"
"1","March 3, 2026 at 10:34AM",1,2026-03-03,"In Defense of Effeminate Gay Boys - The Atlantic","all regions","gender identity","Tuesday",3,2026,"14792114867614311782","“<b>Gender identity</b> and sexual orientation are two different things,” the Human Rights Campaign asserts. But the confidence with which people claim that&nbsp;..."
"2","March 3, 2026 at 10:39AM",1,2026-03-03,"In Defense of Effeminate Gay Boys - The Atlantic","all regions","biological sex","Tuesday",3,2026,"17630397442231169432","... <b>biological sex</b>. Daniela Valdes and Kinnon MacKinnon: Take detransitioners seriously. Activists attempt to impose social costs on people who voice&nbsp;..."
"3","March 3, 2026 at 08:04PM",1,2026-03-03,"In Defense of Effeminate Boys - The Atlantic","all regions","transgender","Tuesday",3,2026,"1916116072231156194","Someone added me to an online blacklist, so now when someone Googles me, one of the first hits is a page titled, “Ben Appel vs. <b>Transgender</b> People.”&nbsp;..."
"4","March 3, 2026 at 07:00AM",1,2026-03-03,"In Defense of Effeminate Gay Boys - The Atlantic","USA","gender identity","Tuesday",3,2026,"4028362110021709687","“<b>Gender identity</b> and sexual orientation are two different things,” the Human Rights Campaign asserts. But the confidence with which people claim that&nbsp;..."
"5","March 3, 2026 at 10:39AM",1,2026-03-03,"In Defense of Effeminate Boys - The Atlantic","USA","biological sex","Tuesday",3,2026,"16843718063138847601","... <b>biological sex</b>. Daniela Valdes and Kinnon MacKinnon: Take detransitioners seriously. Activists attempt to impose social costs on people who voice&nbsp;..."
"6","January 13, 2026 at 04:06PM",1,2026-01-13,"Texas Sends Plato Back to His Cave - The Atlantic","all regions","gender identity","Tuesday",1,2026,"14792114867614311782","... <b>gender identity</b>” without special approval. In his email response to his department chair, Inside Higher Ed reported, Peterson warned, “You are&nbsp;..."
"7","January 13, 2026 at 05:36PM",1,2026-01-13,"Texas Sends Plato Back to His Cave - The Atlantic","USA","gender identity","Tuesday",1,2026,"4028362110021709687","... <b>gender identity</b>” without special approval. In his email response to his department chair, Inside Higher Ed reported, Peterson warned, “You are&nbsp;..."
"8","January 13, 2026 at 04:06PM",1,2026-01-13,"Texas Sends Plato Back to His Cave - The Atlantic",NA,"gender ideology","Tuesday",1,2026,"8717893479030415655","Peterson and Plato fell victim to a policy adopted by the university in the fall, which states that classes cannot “advocate race or <b>gender ideology</b>,&nbsp;..."
"9","January 11, 2026 at 07:05AM",1,2026-01-11,"The Most Shouted-At Politician in America - The Atlantic","USA","gender identity","Sunday",1,2026,"4028362110021709687","... <b>gender identity</b>. After the incident went viral, it emerged that Black, under the name Grant Freeman, had previously pleaded guilty to assault&nbsp;..."
"10","November 07, 2025 at 08:05AM",4,2025-11-07,"A Conservative Case for Feminization - The Atlantic","all regions","biological sex","Friday",11,2025,"17630397442231169432","Like many conservatives, Sargeant takes <b>biological sex</b> differences as her starting point. She goes deep into debates over whether, when, and how&nbsp;..."
"11","November 07, 2025 at 09:35AM",4,2025-11-07,"A Conservative Rejoinder to the Manosphere - The Atlantic","USA","biological sex","Friday",11,2025,"16843718063138847601","Like many conservatives, Sargeant takes <b>biological sex</b> differences as her starting point. She goes deep into debates over whether, when, and how&nbsp;..."
"12","October 28, 2025 at 10:39PM",4,2025-10-28,"What Elon Musk's Version of Wikipedia Thinks About Hitler, Putin, and Apartheid - The Atlantic",NA,"gender ideology","Tuesday",10,2025,"8717893479030415655","First, the site uses just that term, theory, rather than conspiracy theory, as you would see on Wikipedia and elsewhere. Just a few sentences in,&nbsp;..."
"13","October 06, 2025 at 12:21PM",4,2025-10-06,"The Supreme Court Is Giving Liberals an Opportunity - The Atlantic","all regions","gender identity","Monday",10,2025,"14792114867614311782","... <b>gender identity</b>. In so doing, it recognized a constitutional right to opt out of specific classroom content that conflicts with one&#39;s religious&nbsp;..."
"14","October 06, 2025 at 10:51AM",4,2025-10-06,"Religious Accommodations Are Good for Liberalism - The Atlantic","USA","gender identity","Monday",10,2025,"4028362110021709687","... <b>gender identity</b>. In so doing, it recognized a constitutional right to opt out of specific classroom content that conflicts with one&#39;s religious&nbsp;..."
"15","October 04, 2025 at 11:05AM",4,2025-10-04,"A Deal That Would End Universities' Independence - The Atlantic","all regions","gender identity","Saturday",10,2025,"14792114867614311782","... <b>gender identity</b>, religious associations, or proxies for any of those factors.” One wonders whether the White House realizes that elite schools&nbsp;..."
"16","October 04, 2025 at 11:05AM",4,2025-10-04,"A Deal That Would End Universities' Independence - The Atlantic","USA","gender identity","Saturday",10,2025,"4028362110021709687","... <b>gender identity</b>, religious associations, or proxies for any of those factors.” One wonders whether the White House realizes that elite schools&nbsp;..."
"17","September 25, 2025 at 08:34AM",3,2025-09-25,"Testing Teachers for 'Wokeness' - The Atlantic",NA,"gender ideology","Thursday",9,2025,"8717893479030415655","Rosin: So if Walters thought that way about <b>gender</b>, how was he gonna handle sexuality? ... <b>ideology</b>. I&#39;m a parent. I&#39;m married to a same-<b>gender</b>&nbsp;..."
"18","September 24, 2025 at 09:48AM",3,2025-09-24,"The Gaza Left and the Gender Left - The Atlantic",NA,"gender ideology","Wednesday",9,2025,"8717893479030415655","A commenter who endorsed a “material analysis of sex” urged the new left-wing party not to “parrot the same neoliberal idea of <b>gender ideology</b>."
"19","September 22, 2025 at 03:50PM",3,2025-09-22,"The Atlantic's 2025 Report on Diversity & Inclusion","all regions","gender identity","Monday",9,2025,"14792114867614311782","... <b>gender identity</b>, socioeconomic status, and faith). Nevertheless, this data set provides the best measure of our progress to date. Find the PDF&nbsp;..."
"20","September 19, 2025 at 04:37AM",3,2025-09-19,"Why People Fell for an Outlandish Charlie Kirk Theory - The Atlantic","all regions","transgender","Friday",9,2025,"1916116072231156194","Robinson&#39;s romance with a trans person, and decision to kill Kirk just as he was speaking about <b>transgender</b> mass shooters, strongly suggests that&nbsp;..."
"21","September 11, 2025 at 03:35PM",3,2025-09-11,"Political Violence Could Devour Us All - The Atlantic",NA,"transgenderism","Thursday",9,2025,"15658552694435684511","Yesterday afternoon, at a Utah Valley University political event, hundreds of attendees watched the murder of 31-year-old Charlie Kirk,&nbsp;..."
"22","September 04, 2025 at 03:32PM",3,2025-09-04,"The Mass Shooters Are Performing for One Another - The Atlantic","USA","gender identity","Thursday",9,2025,"4028362110021709687","Some right-wing influencers and MAGA-friendly news outlets seized on the killer&#39;s <b>gender identity</b>, insinuating that the shooting had something to&nbsp;..."
"23","September 02, 2025 at 06:56PM",3,2025-09-02,"Graham Linehan's Arrest Demonstrates Europe's Free-Speech Problem - The Atlantic",NA,"gender ideology","Tuesday",9,2025,"8717893479030415655","... <b>gender ideology</b>.” He is obsessive and offensive. But is he a criminal ... gender should be the basis of law and policy, have extremists in&nbsp;..."
"24","August 19, 2025 at 12:08PM",3,2025-08-19,"The Two-Word Phrase Unleashing Chaos at the NIH - The Atlantic","all regions","gender identity","Tuesday",8,2025,"14792114867614311782","Since January, President Donald Trump&#39;s administration has been clear about its stance on systemic racism and <b>gender identity</b>: Those concepts&nbsp;..."
"25","August 19, 2025 at 12:08PM",3,2025-08-19,"The Two-Word Phrase Unleashing Chaos at the NIH - The Atlantic","USA","gender identity","Tuesday",8,2025,"4028362110021709687","Since January, President Donald Trump&#39;s administration has been clear about its stance on systemic racism and <b>gender identity</b>: Those concepts&nbsp;..."
"26","July 12, 2025 at 04:27PM",3,2025-07-12,"A Strange Time to Be Trans - The Atlantic","all regions","transgender","Saturday",7,2025,"1916116072231156194","The “<b>transgender</b> tipping point,” in the words of Time magazine, supposedly came in 2014, when trans adults living proudly public lives began&nbsp;..."
"27","July 12, 2025 at 01:26PM",3,2025-07-12,"A Strange Time to Be Trans - The Atlantic","USA","transgender","Saturday",7,2025,"11193014132467407489","The “<b>transgender</b> tipping point,” in the words of Time magazine, supposedly came in 2014, when trans adults living proudly public lives began&nbsp;..."
"28","June 29, 2025 at 10:07AM",2,2025-06-29,"The Liberal Misinformation Bubble About Youth Gender Medicine - The Atlantic","all regions","gender identity","Sunday",6,2025,"14792114867614311782","Read: The Democrats need an honest conversation on <b>gender identity</b>. Even then, his admission did not register with the liberal justices. When the&nbsp;..."
"29","June 29, 2025 at 11:58AM",2,2025-06-29,"The Liberal Misinformation Bubble About Youth Gender Medicine - The Atlantic","all regions","transgender","Sunday",6,2025,"1916116072231156194","... <b>transgender</b> health care.” This is not how evidence-based medicine is supposed to work. You don&#39;t start with a treatment and then ensure that only&nbsp;..."
"30","June 29, 2025 at 11:37AM",2,2025-06-29,"The Liberal Misinformation Bubble About Youth Gender Medicine - The Atlantic","USA","transgender","Sunday",6,2025,"11193014132467407489","... <b>transgender</b> health care.” This is not how evidence-based medicine is supposed to work. You don&#39;t start with a treatment and then ensure that only&nbsp;..."
"31","June 29, 2025 at 10:07AM",2,2025-06-29,"The Liberal Misinformation Bubble About Youth Gender Medicine - The Atlantic","USA","gender identity","Sunday",6,2025,"4028362110021709687","Read: The Democrats need an honest conversation on <b>gender identity</b>. Even then, his admission did not register with the liberal justices. When the&nbsp;..."
"32","June 25, 2025 at 09:18AM",2,2025-06-25,"A Military Ethics Professor Resigns in Protest - The Atlantic",NA,"gender ideology","Wednesday",6,2025,"8717893479030415655","... <b>gender ideology</b>,” “race or sex stereotyping,” and, of course, anything to do with DEI. Given the potential breadth of the order, the military&nbsp;..."
"33","June 24, 2025 at 07:03AM",2,2025-06-24,"The Archaic Sex-Discrimination Case the Supreme Court Is Reviving - The Atlantic","all regions","gender identity","Tuesday",6,2025,"14792114867614311782","... <b>gender identity</b>). But the consequences will be indirect as well, and reach beyond the realm of transgender rights—potentially representing a&nbsp;..."
"34","June 24, 2025 at 11:33AM",2,2025-06-24,"The Archaic Sex-Discrimination Case the Supreme Court Is Reviving - The Atlantic","all regions","transgender","Tuesday",6,2025,"1916116072231156194","The Court&#39;s logic went as follows: Although the law restricts access to hormones and puberty blockers to treat gender dysphoria, both <b>transgender</b> and&nbsp;..."
"35","June 24, 2025 at 08:33AM",2,2025-06-24,"The Archaic Sex-Discrimination Case the Supreme Court Is Reviving - The Atlantic","USA","gender identity","Tuesday",6,2025,"4028362110021709687","... <b>gender identity</b>). But the consequences will be indirect as well, and reach beyond the realm of transgender rights—potentially representing a&nbsp;..."
"36","June 24, 2025 at 09:28AM",2,2025-06-24,"The Archaic Sex-Discrimination Case the Supreme Court Is Reviving - The Atlantic","USA","transgender","Tuesday",6,2025,"11193014132467407489","The Court&#39;s logic went as follows: Although the law restricts access to hormones and puberty blockers to treat gender dysphoria, both <b>transgender</b> and&nbsp;..."
"37","June 09, 2025 at 09:32AM",2,2025-06-09,"The Trump Administration's Nasty Campaign Against Trans People - The Atlantic","all regions","gender identity","Monday",6,2025,"14792114867614311782","The “adoption of a <b>gender identity</b> inconsistent with an ... Under Biden, the left went too far into bad and unpopular <b>gender-identity</b> policies."
"38","June 09, 2025 at 10:16AM",2,2025-06-09,"The Trump Administration's Nasty Campaign Against Trans People - The Atlantic","all regions","transgender","Monday",6,2025,"1916116072231156194","Last year, Donald Trump&#39;s presidential campaign notoriously made <b>transgender</b> issues a centerpiece of its charge that Democrats were out of touch&nbsp;..."
"39","June 09, 2025 at 09:32AM",2,2025-06-09,"The Trump Administration's Nasty Campaign Against Trans People - The Atlantic","USA","gender identity","Monday",6,2025,"4028362110021709687","The “adoption of a <b>gender identity</b> inconsistent with an ... Under Biden, the left went too far into bad and unpopular <b>gender-identity</b> policies."
"40","June 09, 2025 at 11:02AM",2,2025-06-09,"The Trump Administration's Nasty Campaign Against Trans People - The Atlantic","USA","transgender","Monday",6,2025,"11193014132467407489","Last year, Donald Trump&#39;s presidential campaign notoriously made <b>transgender</b> issues a centerpiece of its charge that Democrats were out of touch&nbsp;..."
"41","May 08, 2025 at 01:27PM",2,2025-05-08,"The Papacy Is No Ordinary Succession - The Atlantic","USA","biological sex","Thursday",5,2025,"16843718063138847601","How many Democrats today would both oppose abortion and defend a gender binary based on <b>biological sex</b>, as Francis did? How many Republicans would&nbsp;..."
"42","April 18, 2025 at 02:56PM",2,2025-04-18,"Britain Rules on What a Woman Is - The Atlantic","USA","biological sex","Friday",4,2025,"16843718063138847601","But in some situations covered by the Equality Act, individuals&#39; <b>biological sex</b> ... <b>biological sex</b>? Are lesbian dating meetups allowed to exclude trans&nbsp;..."
"43","April 18, 2025 at 03:36PM",2,2025-04-18,"Britain Rules on What a Woman Is - The Atlantic","USA","gender identity","Friday",4,2025,"4028362110021709687","The research on <b>gender identity</b> and criminality is limited, but the most relevant study found that trans women followed a pattern more typical of&nbsp;..."
"44","April 18, 2025 at 02:56PM",2,2025-04-18,"Britain Rules on What a Woman Is - The Atlantic","all regions","biological sex","Friday",4,2025,"17630397442231169432","But in some situations covered by the Equality Act, individuals&#39; <b>biological sex</b> ... <b>biological sex</b>? Are lesbian dating meetups allowed to exclude trans&nbsp;..."
"45","April 18, 2025 at 02:56PM",2,2025-04-18,"Britain Rules on What a Woman Is - The Atlantic","all regions","gender identity","Friday",4,2025,"14792114867614311782","The research on <b>gender identity</b> and criminality is limited, but the most relevant study found that trans women followed a pattern more typical of&nbsp;..."
"46","April 11, 2025 at 11:29AM",2,2025-04-11,"Can I Still Teach My Yale Course on Racism? - The Atlantic",NA,"gender ideology","Friday",4,2025,"8717893479030415655","... <b>gender ideology</b>” while requiring state education officials at public ... Some conservatives point to Joe Biden&#39;s Title IX rules regarding transgender&nbsp;..."
"47","April 01, 2025 at 10:19AM",2,2025-04-01,"The Top Goal of Project 2025 Is Still to Come - The Atlantic","USA","biological sex","Tuesday",4,2025,"16843718063138847601","“In the past, the word &#39;gender&#39; was a polite alternative to the word &#39;sex&#39; or term &#39;<b>biological sex</b>,&#39;” Primorac writes. “The Left has commandeered&nbsp;..."
"48","April 01, 2025 at 10:19AM",2,2025-04-01,"The Top Goal of Project 2025 Is Still to Come - The Atlantic","all regions","biological sex","Tuesday",4,2025,"17630397442231169432","“In the past, the word &#39;gender&#39; was a polite alternative to the word &#39;sex&#39; or term &#39;<b>biological sex</b>,&#39;” Primorac writes. “The Left has commandeered&nbsp;..."
"49","March 24, 2025 at 09:04AM",1,2025-03-24,"How the Closet Really Works - The Atlantic","USA","transgender","Monday",3,2025,"11193014132467407489","... <b>transgender</b>. Abigail has seen this vanishing act referred to as “woodworking” on the internet—picking up stakes, passing for cis, and fading into&nbsp;..."
"50","March 24, 2025 at 09:04AM",1,2025-03-24,"How the Closet Really Works - The Atlantic","all regions","transgender","Monday",3,2025,"1916116072231156194","... <b>transgender</b>. Abigail has seen this vanishing act referred to as “woodworking” on the internet—picking up stakes, passing for cis, and fading into&nbsp;..."
"51","March 18, 2025 at 10:37AM",1,2025-03-18,"The Life of the Mind Can Only Get You So Far - The Atlantic",NA,"gender ideology","Tuesday",3,2025,"8717893479030415655","The novel begins in 1986, when the narrator has just moved from Sydney to Melbourne to write a thesis about <b>gender roles</b> in the late novels of her&nbsp;..."
"52","March 06, 2025 at 07:45AM",1,2025-03-06,"The 'Reality Check' in Hunter Schafer's Viral Passport Video - The Atlantic","USA","biological sex","Thursday",3,2025,"16843718063138847601","... <b>biological sex</b>, not gender identity. (Schafer, who is 26 years old and has used the female gender marker since her teens, explained that she had&nbsp;..."
"53","March 06, 2025 at 08:40AM",1,2025-03-06,"When a Celebrity Offers a 'Harsh Reality Check' - The Atlantic","all regions","biological sex","Thursday",3,2025,"17630397442231169432","... <b>biological sex</b>, not gender identity. (Schafer, who is 26 years old and has used the female gender marker since her teens, explained that she had&nbsp;..."
"54","February 14, 2025 at 02:15PM",1,2025-02-14,"The Erasing of American Science - The Atlantic",NA,"gender ideology","Friday",2,2025,"8717893479030415655","The terms the Trump administration has flagged as “<b>gender ideology</b>”—a list that includes pregnant people, transgender, binary, non-binary, assigned at&nbsp;..."
"55","January 29, 2025 at 09:45AM",1,2025-01-29,"The Attack on Trans Rights Won't End There - The Atlantic","all regions","biological sex","Wednesday",1,2025,"17630397442231169432","One transgender congressional representative was enough for Republicans to demand that all of the Capitol&#39;s bathrooms be restricted by “<b>biological sex</b>&nbsp;..."
"56","January 29, 2025 at 09:45AM",1,2025-01-29,"The Attack on Trans Rights Won't End There - The Atlantic","USA","biological sex","Wednesday",1,2025,"16843718063138847601","One transgender congressional representative was enough for Republicans to demand that all of the Capitol&#39;s bathrooms be restricted by “<b>biological sex</b>&nbsp;..."
"57","January 29, 2025 at 09:45AM",1,2025-01-29,"The Attack on Trans Rights Won't End There - The Atlantic","USA","gender identity","Wednesday",1,2025,"4028362110021709687","On Monday, Trump issued an executive order purging trans service members from the military on the grounds that “expressing a false &#39;<b>gender identity</b>&nbsp;..."
"58","December 30, 2024 at 06:06AM",4,2024-12-30,"What the Left Refused to Understand About Women's Sports - The Atlantic","USA","biological sex","Monday",12,2024,"16843718063138847601","But in recent years, lawyers have argued over what the law means—does sex cover only <b>biological sex</b>, or gender identity and sexual orientation?"
"59","December 30, 2024 at 06:06AM",4,2024-12-30,"What the Left Refused to Understand About Women's Sports - The Atlantic","USA","transgender","Monday",12,2024,"11193014132467407489","The story of <b>transgender</b> women competing in female sports is frequently told as one of inclusion—creating opportunities for people to compete as their&nbsp;..."
"60","December 30, 2024 at 07:36AM",4,2024-12-30,"What the Left Refused to Understand About Women's Sports - The Atlantic","USA","gender identity","Monday",12,2024,"4028362110021709687","On Joe Biden&#39;s first day in office as president, he issued an executive order opposing discrimination on the basis of <b>gender identity</b>. Its&nbsp;..."
"61","December 30, 2024 at 06:06AM",4,2024-12-30,"What the Left Refused to Understand About Women's Sports - The Atlantic","all regions","biological sex","Monday",12,2024,"17630397442231169432","But in recent years, lawyers have argued over what the law means—does sex cover only <b>biological sex</b>, or gender identity and sexual orientation?"
"62","December 30, 2024 at 06:12AM",4,2024-12-30,"What the Left Refused to Understand About Women's Sports - The Atlantic","all regions","gender identity","Monday",12,2024,"14792114867614311782","On Joe Biden&#39;s first day in office as president, he issued an executive order opposing discrimination on the basis of <b>gender identity</b>. Its&nbsp;..."
"63","December 30, 2024 at 06:12AM",4,2024-12-30,"What the Left Refused to Understand About Women's Sports - The Atlantic","all regions","transgender","Monday",12,2024,"1916116072231156194","The story of <b>transgender</b> women competing in female sports is frequently told as one of inclusion—creating opportunities for people to compete as their&nbsp;..."
"64","December 24, 2024 at 09:06AM",4,2024-12-24,"Are Young Men Really Becoming More Sexist? - The Atlantic",NA,"gender ideology","Tuesday",12,2024,"8717893479030415655","Could the Gen Z political <b>gender</b> gap be an international phenomenon? Today&#39;s episode of Good on Paper is with Dr. Alice Evans, a senior lecturer at&nbsp;..."
"65","December 04, 2024 at 09:38AM",4,2024-12-04,"The Case Against Despair in Trump's Second Term - The Atlantic","USA","biological sex","Wednesday",12,2024,"16843718063138847601","But many civil libertarians want sports to be segregated by <b>biological sex</b>, and don&#39;t see that as a rights violation. They don&#39;t understand it as&nbsp;..."
"66","November 11, 2024 at 12:52PM",4,2024-11-11,"The Democrats' Senate Nightmare Is Only Beginning - The Atlantic","all regions","gender identity","Monday",11,2024,"14792114867614311782","The Democrats Need an Honest Conversation on <b>Gender Identity</b>. The party went into an election with policies it couldn&#39;t defend—or even explain&nbsp;..."
"67","November 10, 2024 at 09:06AM",4,2024-11-10,"The Democrats Need an Honest Conversation on Gender Identity - The Atlantic","USA","transgender","Sunday",11,2024,"11193014132467407489","The party went into an election with policies it couldn&#39;t defend—or even explain."
"68","November 10, 2024 at 09:06AM",4,2024-11-10,"The Democrats Need an Honest Conversation on Gender Identity - The Atlantic","USA","gender identity","Sunday",11,2024,"4028362110021709687","One of the mysteries of this election is how the Democrats approached polling day with a set of policies on <b>gender identity</b> that they were neither&nbsp;..."
