"","EntryPublished","EntryTitle","region","keyword","dayweek","month","year","RSS","count"
"1","December 30, 2024 at 06:06AM","What the Left Refused to Understand About Women's Sports - The Atlantic","USA","biological sex","Monday",12,2024,"16843718063138847601",6
"2","December 30, 2024 at 06:06AM","What the Left Refused to Understand About Women's Sports - The Atlantic","USA","transgender","Monday",12,2024,"11193014132467407489",6
"3","December 30, 2024 at 07:36AM","What the Left Refused to Understand About Women's Sports - The Atlantic","USA","gender identity","Monday",12,2024,"4028362110021709687",6
"4","December 30, 2024 at 06:06AM","What the Left Refused to Understand About Women's Sports - The Atlantic","all regions","biological sex","Monday",12,2024,"17630397442231169432",6
"5","December 30, 2024 at 06:12AM","What the Left Refused to Understand About Women's Sports - The Atlantic","all regions","gender identity","Monday",12,2024,"14792114867614311782",6
"6","December 30, 2024 at 06:12AM","What the Left Refused to Understand About Women's Sports - The Atlantic","all regions","transgender","Monday",12,2024,"1916116072231156194",6
"7","November 10, 2024 at 09:06AM","The Democrats Need an Honest Conversation on Gender Identity - The Atlantic","USA","transgender","Sunday",11,2024,"11193014132467407489",6
"8","November 10, 2024 at 09:06AM","The Democrats Need an Honest Conversation on Gender Identity - The Atlantic","USA","gender identity","Sunday",11,2024,"4028362110021709687",6
"9","November 10, 2024 at 09:06AM","The Democrats Need an Honest Conversation on Gender Identity - The Atlantic","USA","biological sex","Sunday",11,2024,"16843718063138847601",6
"10","November 10, 2024 at 09:06AM","The Democrats Need an Honest Conversation on Gender Identity - The Atlantic","all regions","biological sex","Sunday",11,2024,"17630397442231169432",6
"11","November 10, 2024 at 09:06AM","The Democrats Need an Honest Conversation on Gender Identity - The Atlantic","all regions","gender identity","Sunday",11,2024,"14792114867614311782",6
"12","November 10, 2024 at 09:06AM","The Democrats Need an Honest Conversation on Gender Identity - The Atlantic","all regions","transgender","Sunday",11,2024,"1916116072231156194",6
"13","May 08, 2023 at 08:22AM","Why Biden's New School-Sports Rule Matters - The Atlantic","all regions","biological sex","Monday",5,2023,"17630397442231169432",6
"14","May 08, 2023 at 08:22AM","Why Biden's New School-Sports Rule Matters - The Atlantic","all regions","transgender","Monday",5,2023,"1916116072231156194",6
"15","May 08, 2023 at 08:22AM","Why Biden's New School-Sports Rule Matters - The Atlantic","all regions","gender identity","Monday",5,2023,"14792114867614311782",6
"16","May 08, 2023 at 05:15PM","Another Side of the Gender Debate - The Atlantic","all regions","biological sex","Monday",5,2023,"17630397442231169432",6
"17","May 08, 2023 at 05:15PM","Another Side of the Gender Debate - The Atlantic","all regions","gender identity","Monday",5,2023,"14792114867614311782",6
"18","May 08, 2023 at 08:22AM","Why Biden's New School-Sports Rule Matters - The Atlantic","USA","transgender","Monday",5,2023,"11193014132467407489",6
"19","May 08, 2023 at 08:22AM","Why Biden's New School-Sports Rule Matters - The Atlantic","USA","gender identity","Monday",5,2023,"4028362110021709687",6
"20","May 08, 2023 at 08:58AM","Why Biden's New School-Sports Rule Matters - The Atlantic","USA","biological sex","Monday",5,2023,"16843718063138847601",6
"21","May 08, 2023 at 04:59PM","Another Side of the Gender Debate - The Atlantic","USA","biological sex","Monday",5,2023,"16843718063138847601",6
"22","May 08, 2023 at 05:15PM","Another Side of the Gender Debate - The Atlantic","USA","gender identity","Monday",5,2023,"4028362110021709687",6
"23","May 08, 2023 at 04:59PM","Another Side of the Gender Debate - The Atlantic",NA,"gender ideology","Monday",5,2023,"8717893479030415655",6
"24","May 08, 2023 at 05:15PM","Another Side of the Gender Debate - The Atlantic",NA,"transgenderism","Monday",5,2023,"15658552694435684511",6
"25","September 03, 2024 at 02:42PM","Donald Trump Claims Schools Offer Sex-Change Surgeries - The Atlantic","USA","biological sex","Tuesday",9,2024,"16843718063138847601",5
"26","September 03, 2024 at 04:06PM","Donald Trump Claims Schools Offer Sex-Change Surgeries - The Atlantic","USA","transgender","Tuesday",9,2024,"11193014132467407489",5
"27","September 03, 2024 at 10:26PM","Donald Trump Claims Schools Offer Sex-Change Surgeries - The Atlantic","USA","gender identity","Tuesday",9,2024,"4028362110021709687",5
"28","September 03, 2024 at 02:43PM","Donald Trump Claims Schools Offer Sex-Change Surgeries - The Atlantic","all regions","biological sex","Tuesday",9,2024,"17630397442231169432",5
"29","September 03, 2024 at 04:06PM","Donald Trump Claims Schools Offer Sex-Change Surgeries - The Atlantic","all regions","transgender","Tuesday",9,2024,"1916116072231156194",5
"30","June 29, 2025 at 10:07AM","The Liberal Misinformation Bubble About Youth Gender Medicine - The Atlantic","all regions","gender identity","Sunday",6,2025,"14792114867614311782",4
"31","June 29, 2025 at 11:58AM","The Liberal Misinformation Bubble About Youth Gender Medicine - The Atlantic","all regions","transgender","Sunday",6,2025,"1916116072231156194",4
"32","June 29, 2025 at 11:37AM","The Liberal Misinformation Bubble About Youth Gender Medicine - The Atlantic","USA","transgender","Sunday",6,2025,"11193014132467407489",4
"33","June 29, 2025 at 10:07AM","The Liberal Misinformation Bubble About Youth Gender Medicine - The Atlantic","USA","gender identity","Sunday",6,2025,"4028362110021709687",4
"34","June 24, 2025 at 07:03AM","The Archaic Sex-Discrimination Case the Supreme Court Is Reviving - The Atlantic","all regions","gender identity","Tuesday",6,2025,"14792114867614311782",4
"35","June 24, 2025 at 11:33AM","The Archaic Sex-Discrimination Case the Supreme Court Is Reviving - The Atlantic","all regions","transgender","Tuesday",6,2025,"1916116072231156194",4
"36","June 24, 2025 at 08:33AM","The Archaic Sex-Discrimination Case the Supreme Court Is Reviving - The Atlantic","USA","gender identity","Tuesday",6,2025,"4028362110021709687",4
"37","June 24, 2025 at 09:28AM","The Archaic Sex-Discrimination Case the Supreme Court Is Reviving - The Atlantic","USA","transgender","Tuesday",6,2025,"11193014132467407489",4
"38","June 09, 2025 at 09:32AM","The Trump Administration's Nasty Campaign Against Trans People - The Atlantic","all regions","gender identity","Monday",6,2025,"14792114867614311782",4
"39","June 09, 2025 at 10:16AM","The Trump Administration's Nasty Campaign Against Trans People - The Atlantic","all regions","transgender","Monday",6,2025,"1916116072231156194",4
"40","June 09, 2025 at 09:32AM","The Trump Administration's Nasty Campaign Against Trans People - The Atlantic","USA","gender identity","Monday",6,2025,"4028362110021709687",4
"41","June 09, 2025 at 11:02AM","The Trump Administration's Nasty Campaign Against Trans People - The Atlantic","USA","transgender","Monday",6,2025,"11193014132467407489",4
"42","April 18, 2025 at 02:56PM","Britain Rules on What a Woman Is - The Atlantic","USA","biological sex","Friday",4,2025,"16843718063138847601",4
"43","April 18, 2025 at 03:36PM","Britain Rules on What a Woman Is - The Atlantic","USA","gender identity","Friday",4,2025,"4028362110021709687",4
"44","April 18, 2025 at 02:56PM","Britain Rules on What a Woman Is - The Atlantic","all regions","biological sex","Friday",4,2025,"17630397442231169432",4
"45","April 18, 2025 at 02:56PM","Britain Rules on What a Woman Is - The Atlantic","all regions","gender identity","Friday",4,2025,"14792114867614311782",4
"46","March 19, 2024 at 10:16AM","The Worst Argument for Youth Transition - The Atlantic","USA","gender identity","Tuesday",3,2024,"4028362110021709687",4
"47","March 19, 2024 at 10:06PM","The Worst Argument for Youth Transition - The Atlantic","USA","transgender","Tuesday",3,2024,"11193014132467407489",4
"48","March 19, 2024 at 10:16AM","The Worst Argument for Youth Transition - The Atlantic","all regions","gender identity","Tuesday",3,2024,"14792114867614311782",4
"49","March 19, 2024 at 07:05PM","The Worst Argument for Youth Transition - The Atlantic",NA,"gender ideology","Tuesday",3,2024,"8717893479030415655",4
"50","May 01, 2023 at 04:40PM","What Readers Really Think About Gender - The Atlantic","all regions","biological sex","Monday",5,2023,"17630397442231169432",4
"51","May 01, 2023 at 04:40PM","What Readers Really Think About Gender - The Atlantic","all regions","gender identity","Monday",5,2023,"14792114867614311782",4
"52","May 01, 2023 at 04:06PM","What Readers Really Think About Gender - The Atlantic","USA","biological sex","Monday",5,2023,"16843718063138847601",4
"53","May 01, 2023 at 04:40PM","What Readers Really Think About Gender - The Atlantic","USA","gender identity","Monday",5,2023,"4028362110021709687",4
"54","March 3, 2026 at 10:34AM","In Defense of Effeminate Gay Boys - The Atlantic","all regions","gender identity","Tuesday",3,2026,"14792114867614311782",3
"55","March 3, 2026 at 10:39AM","In Defense of Effeminate Gay Boys - The Atlantic","all regions","biological sex","Tuesday",3,2026,"17630397442231169432",3
"56","March 3, 2026 at 07:00AM","In Defense of Effeminate Gay Boys - The Atlantic","USA","gender identity","Tuesday",3,2026,"4028362110021709687",3
"57","January 13, 2026 at 04:06PM","Texas Sends Plato Back to His Cave - The Atlantic","all regions","gender identity","Tuesday",1,2026,"14792114867614311782",3
"58","January 13, 2026 at 05:36PM","Texas Sends Plato Back to His Cave - The Atlantic","USA","gender identity","Tuesday",1,2026,"4028362110021709687",3
"59","January 13, 2026 at 04:06PM","Texas Sends Plato Back to His Cave - The Atlantic",NA,"gender ideology","Tuesday",1,2026,"8717893479030415655",3
"60","January 29, 2025 at 09:45AM","The Attack on Trans Rights Won't End There - The Atlantic","all regions","biological sex","Wednesday",1,2025,"17630397442231169432",3
"61","January 29, 2025 at 09:45AM","The Attack on Trans Rights Won't End There - The Atlantic","USA","biological sex","Wednesday",1,2025,"16843718063138847601",3
"62","January 29, 2025 at 09:45AM","The Attack on Trans Rights Won't End There - The Atlantic","USA","gender identity","Wednesday",1,2025,"4028362110021709687",3
"63","October 24, 2024 at 03:08AM","The Positions That the Democrats Won't Defend - The Atlantic","USA","gender identity","Thursday",10,2024,"4028362110021709687",3
"64","October 24, 2024 at 06:09AM","The Positions That the Democrats Won't Defend - The Atlantic","all regions","gender identity","Thursday",10,2024,"14792114867614311782",3
"65","October 24, 2024 at 03:08AM","The Positions That the Democrats Won't Defend - The Atlantic",NA,"gender ideology","Thursday",10,2024,"8717893479030415655",3
"66","April 21, 2023 at 05:28PM","How the Gender Debate Veered Off Track - The Atlantic","USA","gender identity","Friday",4,2023,"4028362110021709687",3
"67","April 21, 2023 at 05:28PM","How the Gender Debate Veered Off Track - The Atlantic","all regions","gender identity","Friday",4,2023,"14792114867614311782",3
"68","April 21, 2023 at 05:28PM","How the Gender Debate Veered Off Track - The Atlantic",NA,"transgenderism","Friday",4,2023,"15658552694435684511",3
"69","March 3, 2026 at 08:04PM","In Defense of Effeminate Boys - The Atlantic","all regions","transgender","Tuesday",3,2026,"1916116072231156194",2
"70","March 3, 2026 at 10:39AM","In Defense of Effeminate Boys - The Atlantic","USA","biological sex","Tuesday",3,2026,"16843718063138847601",2
"71","October 04, 2025 at 11:05AM","A Deal That Would End Universities' Independence - The Atlantic","all regions","gender identity","Saturday",10,2025,"14792114867614311782",2
"72","October 04, 2025 at 11:05AM","A Deal That Would End Universities' Independence - The Atlantic","USA","gender identity","Saturday",10,2025,"4028362110021709687",2
"73","August 19, 2025 at 12:08PM","The Two-Word Phrase Unleashing Chaos at the NIH - The Atlantic","all regions","gender identity","Tuesday",8,2025,"14792114867614311782",2
"74","August 19, 2025 at 12:08PM","The Two-Word Phrase Unleashing Chaos at the NIH - The Atlantic","USA","gender identity","Tuesday",8,2025,"4028362110021709687",2
"75","July 12, 2025 at 04:27PM","A Strange Time to Be Trans - The Atlantic","all regions","transgender","Saturday",7,2025,"1916116072231156194",2
"76","July 12, 2025 at 01:26PM","A Strange Time to Be Trans - The Atlantic","USA","transgender","Saturday",7,2025,"11193014132467407489",2
"77","April 01, 2025 at 10:19AM","The Top Goal of Project 2025 Is Still to Come - The Atlantic","USA","biological sex","Tuesday",4,2025,"16843718063138847601",2
"78","April 01, 2025 at 10:19AM","The Top Goal of Project 2025 Is Still to Come - The Atlantic","all regions","biological sex","Tuesday",4,2025,"17630397442231169432",2
"79","March 24, 2025 at 09:04AM","How the Closet Really Works - The Atlantic","USA","transgender","Monday",3,2025,"11193014132467407489",2
"80","March 24, 2025 at 09:04AM","How the Closet Really Works - The Atlantic","all regions","transgender","Monday",3,2025,"1916116072231156194",2
"81","November 10, 2024 at 01:25PM","Will Trump Change How We Talk? 'SNL' Thinks So - The Atlantic","USA","gender identity","Sunday",11,2024,"4028362110021709687",2
"82","November 10, 2024 at 01:25PM","Will Trump Change How We Talk? 'SNL' Thinks So - The Atlantic","all regions","gender identity","Sunday",11,2024,"14792114867614311782",2
"83","November 08, 2024 at 06:39AM","What the Left Keeps Getting Wrong - The Atlantic","USA","gender identity","Friday",11,2024,"4028362110021709687",2
"84","November 08, 2024 at 12:40PM","What the Left Keeps Getting Wrong - The Atlantic","all regions","gender identity","Friday",11,2024,"14792114867614311782",2
"85","April 13, 2024 at 12:38AM","Britain Is Leaving the U.S. Gender-Medicine Debate Behind - The Atlantic","all regions","gender identity","Saturday",4,2024,"14792114867614311782",2
"86","April 12, 2024 at 09:37PM","Britain Is Leaving the U.S. Gender-Medicine Debate Behind - The Atlantic","USA","gender identity","Friday",4,2024,"4028362110021709687",2
"87","March 31, 2024 at 07:16AM","Utah's Promising New Anti-DEI Law - The Atlantic","USA","gender identity","Sunday",3,2024,"4028362110021709687",2
"88","March 31, 2024 at 10:14AM","Utah's Promising New Anti-DEI Law - The Atlantic","all regions","gender identity","Sunday",3,2024,"14792114867614311782",2
"89","March 25, 2024 at 09:38AM","The Phantasms of Judith Butler - The Atlantic","USA","biological sex","Monday",3,2024,"16843718063138847601",2
"90","March 25, 2024 at 09:38AM","The Phantasms of Judith Butler - The Atlantic","all regions","biological sex","Monday",3,2024,"17630397442231169432",2
"91","December 07, 2023 at 10:34AM","Trump's Plan to Police Gender - The Atlantic","all regions","gender identity","Thursday",12,2023,"14792114867614311782",2
"92","December 07, 2023 at 10:34AM","Trump's Plan to Police Gender - The Atlantic","USA","gender identity","Thursday",12,2023,"4028362110021709687",2
"93","October 23, 2023 at 04:21PM","The Atlantic's 2023 Report on Diversity & Inclusion","USA","gender identity","Monday",10,2023,"4028362110021709687",2
"94","October 23, 2023 at 04:21PM","The Atlantic's 2023 Report on Diversity & Inclusion","all regions","gender identity","Monday",10,2023,"14792114867614311782",2
"95","September 11, 2023 at 08:36AM","Red States Are Rolling Back the Rights Revolution - The Atlantic","all regions","transgender","Monday",9,2023,"1916116072231156194",2
"96","September 10, 2023 at 11:33AM","Red States Are Rolling Back the Rights Revolution - The Atlantic","USA","transgender","Sunday",9,2023,"11193014132467407489",2
"97","August 08, 2023 at 07:37AM","The British Left Makes a Sharp Turn on Gender - The Atlantic","USA","biological sex","Tuesday",8,2023,"16843718063138847601",2
"98","August 08, 2023 at 07:37AM","The British Left Makes a Sharp Turn on Gender - The Atlantic","all regions","biological sex","Tuesday",8,2023,"17630397442231169432",2
"99","June 21, 2023 at 11:27AM","The Gaps Between Media and Reality - The Atlantic","all regions","biological sex","Wednesday",6,2023,"17630397442231169432",2
"100","June 21, 2023 at 11:27AM","The Gaps Between Media and Reality - The Atlantic","USA","biological sex","Wednesday",6,2023,"16843718063138847601",2
"101","April 30, 2023 at 07:43AM","Ron DeSantis's Vision of Freedom Is Unconstitutional - The Atlantic","USA","gender identity","Sunday",4,2023,"4028362110021709687",2
"102","April 30, 2023 at 11:04AM","Ron DeSantis's Vision of Freedom Is Unconstitutional - The Atlantic","all regions","gender identity","Sunday",4,2023,"14792114867614311782",2
"103","January 22, 2023 at 04:05PM","The Culture Wars Look Different on Wikipedia - The Atlantic","all regions","gender identity","Sunday",1,2023,"14792114867614311782",2
"104","January 22, 2023 at 10:10PM","The Culture Wars Look Different on Wikipedia - The Atlantic","USA","gender identity","Sunday",1,2023,"4028362110021709687",2
"105","January 11, 2026 at 07:05AM","The Most Shouted-At Politician in America - The Atlantic","USA","gender identity","Sunday",1,2026,"4028362110021709687",1
"106","November 07, 2025 at 08:05AM","A Conservative Case for Feminization - The Atlantic","all regions","biological sex","Friday",11,2025,"17630397442231169432",1
"107","November 07, 2025 at 09:35AM","A Conservative Rejoinder to the Manosphere - The Atlantic","USA","biological sex","Friday",11,2025,"16843718063138847601",1
"108","October 28, 2025 at 10:39PM","What Elon Musk's Version of Wikipedia Thinks About Hitler, Putin, and Apartheid - The Atlantic",NA,"gender ideology","Tuesday",10,2025,"8717893479030415655",1
"109","October 06, 2025 at 12:21PM","The Supreme Court Is Giving Liberals an Opportunity - The Atlantic","all regions","gender identity","Monday",10,2025,"14792114867614311782",1
"110","October 06, 2025 at 10:51AM","Religious Accommodations Are Good for Liberalism - The Atlantic","USA","gender identity","Monday",10,2025,"4028362110021709687",1
"111","September 25, 2025 at 08:34AM","Testing Teachers for 'Wokeness' - The Atlantic",NA,"gender ideology","Thursday",9,2025,"8717893479030415655",1
"112","September 24, 2025 at 09:48AM","The Gaza Left and the Gender Left - The Atlantic",NA,"gender ideology","Wednesday",9,2025,"8717893479030415655",1
"113","September 22, 2025 at 03:50PM","The Atlantic's 2025 Report on Diversity & Inclusion","all regions","gender identity","Monday",9,2025,"14792114867614311782",1
"114","September 19, 2025 at 04:37AM","Why People Fell for an Outlandish Charlie Kirk Theory - The Atlantic","all regions","transgender","Friday",9,2025,"1916116072231156194",1
"115","September 11, 2025 at 03:35PM","Political Violence Could Devour Us All - The Atlantic",NA,"transgenderism","Thursday",9,2025,"15658552694435684511",1
"116","September 04, 2025 at 03:32PM","The Mass Shooters Are Performing for One Another - The Atlantic","USA","gender identity","Thursday",9,2025,"4028362110021709687",1
"117","September 02, 2025 at 06:56PM","Graham Linehan's Arrest Demonstrates Europe's Free-Speech Problem - The Atlantic",NA,"gender ideology","Tuesday",9,2025,"8717893479030415655",1
"118","June 25, 2025 at 09:18AM","A Military Ethics Professor Resigns in Protest - The Atlantic",NA,"gender ideology","Wednesday",6,2025,"8717893479030415655",1
"119","May 08, 2025 at 01:27PM","The Papacy Is No Ordinary Succession - The Atlantic","USA","biological sex","Thursday",5,2025,"16843718063138847601",1
"120","April 11, 2025 at 11:29AM","Can I Still Teach My Yale Course on Racism? - The Atlantic",NA,"gender ideology","Friday",4,2025,"8717893479030415655",1
"121","March 18, 2025 at 10:37AM","The Life of the Mind Can Only Get You So Far - The Atlantic",NA,"gender ideology","Tuesday",3,2025,"8717893479030415655",1
"122","March 06, 2025 at 07:45AM","The 'Reality Check' in Hunter Schafer's Viral Passport Video - The Atlantic","USA","biological sex","Thursday",3,2025,"16843718063138847601",1
"123","March 06, 2025 at 08:40AM","When a Celebrity Offers a 'Harsh Reality Check' - The Atlantic","all regions","biological sex","Thursday",3,2025,"17630397442231169432",1
"124","February 14, 2025 at 02:15PM","The Erasing of American Science - The Atlantic",NA,"gender ideology","Friday",2,2025,"8717893479030415655",1
"125","December 24, 2024 at 09:06AM","Are Young Men Really Becoming More Sexist? - The Atlantic",NA,"gender ideology","Tuesday",12,2024,"8717893479030415655",1
"126","December 04, 2024 at 09:38AM","The Case Against Despair in Trump's Second Term - The Atlantic","USA","biological sex","Wednesday",12,2024,"16843718063138847601",1
"127","November 11, 2024 at 12:52PM","The Democrats' Senate Nightmare Is Only Beginning - The Atlantic","all regions","gender identity","Monday",11,2024,"14792114867614311782",1
"128","September 25, 2024 at 03:42PM","The Atlantic's 2024 Report on Diversity and Inclusion","USA","gender identity","Wednesday",9,2024,"4028362110021709687",1
"129","August 12, 2024 at 07:35AM","How the Gay-Rights Movement Lost Its Way - The Atlantic","USA","transgender","Monday",8,2024,"11193014132467407489",1
"130","March 12, 2024 at 10:37AM","Are Gen Z Men and Women Really Drifting Apart? - The Atlantic",NA,"gender ideology","Tuesday",3,2024,"8717893479030415655",1
"131","March 12, 2024 at 07:08AM","The Myth of the Gen Z Gender Divide - The Atlantic",NA,"gender ideology","Tuesday",3,2024,"8717893479030415655",1
"132","February 11, 2024 at 06:26PM","Does everything need a live-action remake? - The Atlantic","USA","gender identity","Sunday",2,2024,"4028362110021709687",1
"133","January 31, 2024 at 10:35AM","A Rainbow Coalition of Haters - The Atlantic",NA,"gender ideology","Wednesday",1,2024,"8717893479030415655",1
"134","September 26, 2023 at 09:07AM","Where the New Identity Politics Went Wrong - The Atlantic",NA,"gender ideology","Tuesday",9,2023,"8717893479030415655",1
"135","August 25, 2023 at 09:41PM","The 2024 U.S. Presidential Race: A Cheat Sheet - The Atlantic",NA,"gender ideology","Friday",8,2023,"8717893479030415655",1
"136","May 19, 2023 at 04:06AM","The Problem With State Bans on Gender Care - The Atlantic",NA,"gender ideology","Friday",5,2023,"8717893479030415655",1
"137","May 19, 2023 at 04:40PM","How the Right and the Left Switched Sides on Big Business - The Atlantic",NA,"gender ideology","Friday",5,2023,"8717893479030415655",1
"138","May 15, 2023 at 12:20PM","Vivek Ramaswamy, Primary Entrepreneur - The Atlantic",NA,"gender ideology","Monday",5,2023,"8717893479030415655",1
"139","April 21, 2023 at 06:58PM","How the Gender Debate Veered Offtrack - The Atlantic",NA,"gender ideology","Friday",4,2023,"8717893479030415655",1
"140","April 02, 2023 at 05:03PM","The Hogwarts Legacy Boycott That Wasn't - The Atlantic","all regions","biological sex","Sunday",4,2023,"17630397442231169432",1
