"","EntryPublished","EntryTitle","region","keyword","dayweek","month","year","RSS","the_day","EntryURL","count"
"1","December 30, 2024 at 06:06AM","What the Left Refused to Understand About Women's Sports - The Atlantic","USA","biological sex","Monday",12,2024,"16843718063138847601",2024-12-30,"https://www.theatlantic.com/ideas/archive/2024/12/democrats-trans-rights-sports/681130/",6
"2","December 30, 2024 at 06:06AM","What the Left Refused to Understand About Women's Sports - The Atlantic","USA","transgender","Monday",12,2024,"11193014132467407489",2024-12-30,"https://www.theatlantic.com/ideas/archive/2024/12/democrats-trans-rights-sports/681130/",6
"3","December 30, 2024 at 07:36AM","What the Left Refused to Understand About Women's Sports - The Atlantic","USA","gender identity","Monday",12,2024,"4028362110021709687",2024-12-30,"https://www.theatlantic.com/ideas/archive/2024/12/democrats-trans-rights-sports/681130/",6
"4","December 30, 2024 at 06:06AM","What the Left Refused to Understand About Women's Sports - The Atlantic","all regions","biological sex","Monday",12,2024,"17630397442231169432",2024-12-30,"https://www.theatlantic.com/ideas/archive/2024/12/democrats-trans-rights-sports/681130/",6
"5","December 30, 2024 at 06:12AM","What the Left Refused to Understand About Women's Sports - The Atlantic","all regions","gender identity","Monday",12,2024,"14792114867614311782",2024-12-30,"https://www.theatlantic.com/ideas/archive/2024/12/democrats-trans-rights-sports/681130/",6
"6","December 30, 2024 at 06:12AM","What the Left Refused to Understand About Women's Sports - The Atlantic","all regions","transgender","Monday",12,2024,"1916116072231156194",2024-12-30,"https://www.theatlantic.com/ideas/archive/2024/12/democrats-trans-rights-sports/681130/",6
"7","November 10, 2024 at 09:06AM","The Democrats Need an Honest Conversation on Gender Identity - The Atlantic","USA","transgender","Sunday",11,2024,"11193014132467407489",2024-11-10,"https://www.theatlantic.com/politics/archive/2024/11/democrats-dishonest-gender-conversation-2024-election/680604/",6
"8","November 10, 2024 at 09:06AM","The Democrats Need an Honest Conversation on Gender Identity - The Atlantic","USA","gender identity","Sunday",11,2024,"4028362110021709687",2024-11-10,"https://www.theatlantic.com/politics/archive/2024/11/democrats-dishonest-gender-conversation-2024-election/680604/",6
"9","November 10, 2024 at 09:06AM","The Democrats Need an Honest Conversation on Gender Identity - The Atlantic","USA","biological sex","Sunday",11,2024,"16843718063138847601",2024-11-10,"https://www.theatlantic.com/politics/archive/2024/11/democrats-dishonest-gender-conversation-2024-election/680604/",6
"10","November 10, 2024 at 09:06AM","The Democrats Need an Honest Conversation on Gender Identity - The Atlantic","all regions","biological sex","Sunday",11,2024,"17630397442231169432",2024-11-10,"https://www.theatlantic.com/politics/archive/2024/11/democrats-dishonest-gender-conversation-2024-election/680604/",6
"11","November 10, 2024 at 09:06AM","The Democrats Need an Honest Conversation on Gender Identity - The Atlantic","all regions","gender identity","Sunday",11,2024,"14792114867614311782",2024-11-10,"https://www.theatlantic.com/politics/archive/2024/11/democrats-dishonest-gender-conversation-2024-election/680604/",6
"12","November 10, 2024 at 09:06AM","The Democrats Need an Honest Conversation on Gender Identity - The Atlantic","all regions","transgender","Sunday",11,2024,"1916116072231156194",2024-11-10,"https://www.theatlantic.com/politics/archive/2024/11/democrats-dishonest-gender-conversation-2024-election/680604/",6
"13","May 08, 2023 at 08:22AM","Why Biden's New School-Sports Rule Matters - The Atlantic","all regions","biological sex","Monday",5,2023,"17630397442231169432",2023-05-08,"https://www.theatlantic.com/ideas/archive/2023/05/biden-transgender-student-athletes-schools/673968/",6
"14","May 08, 2023 at 08:22AM","Why Biden's New School-Sports Rule Matters - The Atlantic","all regions","transgender","Monday",5,2023,"1916116072231156194",2023-05-08,"https://www.theatlantic.com/ideas/archive/2023/05/biden-transgender-student-athletes-schools/673968/",6
"15","May 08, 2023 at 08:22AM","Why Biden's New School-Sports Rule Matters - The Atlantic","all regions","gender identity","Monday",5,2023,"14792114867614311782",2023-05-08,"https://www.theatlantic.com/ideas/archive/2023/05/biden-transgender-student-athletes-schools/673968/",6
"16","May 08, 2023 at 05:15PM","Another Side of the Gender Debate - The Atlantic","all regions","biological sex","Monday",5,2023,"17630397442231169432",2023-05-08,"https://www.theatlantic.com/newsletters/archive/2023/05/another-side-of-the-gender-debate/673985/",6
"17","May 08, 2023 at 05:15PM","Another Side of the Gender Debate - The Atlantic","all regions","gender identity","Monday",5,2023,"14792114867614311782",2023-05-08,"https://www.theatlantic.com/newsletters/archive/2023/05/another-side-of-the-gender-debate/673985/",6
"18","May 08, 2023 at 08:22AM","Why Biden's New School-Sports Rule Matters - The Atlantic","USA","transgender","Monday",5,2023,"11193014132467407489",2023-05-08,"https://www.theatlantic.com/ideas/archive/2023/05/biden-transgender-student-athletes-schools/673968/",6
"19","May 08, 2023 at 08:22AM","Why Biden's New School-Sports Rule Matters - The Atlantic","USA","gender identity","Monday",5,2023,"4028362110021709687",2023-05-08,"https://www.theatlantic.com/ideas/archive/2023/05/biden-transgender-student-athletes-schools/673968/",6
"20","May 08, 2023 at 08:58AM","Why Biden's New School-Sports Rule Matters - The Atlantic","USA","biological sex","Monday",5,2023,"16843718063138847601",2023-05-08,"https://www.theatlantic.com/ideas/archive/2023/05/biden-transgender-student-athletes-schools/673968/",6
"21","May 08, 2023 at 04:59PM","Another Side of the Gender Debate - The Atlantic","USA","biological sex","Monday",5,2023,"16843718063138847601",2023-05-08,"https://www.theatlantic.com/newsletters/archive/2023/05/another-side-of-the-gender-debate/673985/",6
"22","May 08, 2023 at 05:15PM","Another Side of the Gender Debate - The Atlantic","USA","gender identity","Monday",5,2023,"4028362110021709687",2023-05-08,"https://www.theatlantic.com/newsletters/archive/2023/05/another-side-of-the-gender-debate/673985/",6
"23","May 08, 2023 at 04:59PM","Another Side of the Gender Debate - The Atlantic",NA,"gender ideology","Monday",5,2023,"8717893479030415655",2023-05-08,"https://www.theatlantic.com/newsletters/archive/2023/05/another-side-of-the-gender-debate/673985/",6
"24","May 08, 2023 at 05:15PM","Another Side of the Gender Debate - The Atlantic",NA,"transgenderism","Monday",5,2023,"15658552694435684511",2023-05-08,"https://www.theatlantic.com/newsletters/archive/2023/05/another-side-of-the-gender-debate/673985/",6
"25","September 03, 2024 at 02:42PM","Donald Trump Claims Schools Offer Sex-Change Surgeries - The Atlantic","USA","biological sex","Tuesday",9,2024,"16843718063138847601",2024-09-03,"https://www.theatlantic.com/politics/archive/2024/09/donald-trump-schools-sex-change/679690/",5
"26","September 03, 2024 at 04:06PM","Donald Trump Claims Schools Offer Sex-Change Surgeries - The Atlantic","USA","transgender","Tuesday",9,2024,"11193014132467407489",2024-09-03,"https://www.theatlantic.com/politics/archive/2024/09/donald-trump-schools-sex-change/679690/",5
"27","September 03, 2024 at 10:26PM","Donald Trump Claims Schools Offer Sex-Change Surgeries - The Atlantic","USA","gender identity","Tuesday",9,2024,"4028362110021709687",2024-09-03,"https://www.theatlantic.com/politics/archive/2024/09/donald-trump-schools-sex-change/679690/",5
"28","September 03, 2024 at 02:43PM","Donald Trump Claims Schools Offer Sex-Change Surgeries - The Atlantic","all regions","biological sex","Tuesday",9,2024,"17630397442231169432",2024-09-03,"https://www.theatlantic.com/politics/archive/2024/09/donald-trump-schools-sex-change/679690/",5
"29","September 03, 2024 at 04:06PM","Donald Trump Claims Schools Offer Sex-Change Surgeries - The Atlantic","all regions","transgender","Tuesday",9,2024,"1916116072231156194",2024-09-03,"https://www.theatlantic.com/politics/archive/2024/09/donald-trump-schools-sex-change/679690/",5
"30","April 18, 2025 at 02:56PM","Britain Rules on What a Woman Is - The Atlantic","USA","biological sex","Friday",4,2025,"16843718063138847601",2025-04-18,"https://www.theatlantic.com/ideas/archive/2025/04/britain-rules-woman-supreme-court/682511/",4
"31","April 18, 2025 at 03:36PM","Britain Rules on What a Woman Is - The Atlantic","USA","gender identity","Friday",4,2025,"4028362110021709687",2025-04-18,"https://www.theatlantic.com/ideas/archive/2025/04/britain-rules-woman-supreme-court/682511/",4
"32","June 29, 2025 at 10:07AM","The Liberal Misinformation Bubble About Youth Gender Medicine - The Atlantic","all regions","gender identity","Sunday",6,2025,"14792114867614311782",2025-06-29,"https://www.theatlantic.com/ideas/archive/2025/06/transgender-youth-skrmetti/683350/",4
"33","June 29, 2025 at 11:58AM","The Liberal Misinformation Bubble About Youth Gender Medicine - The Atlantic","all regions","transgender","Sunday",6,2025,"1916116072231156194",2025-06-29,"https://www.theatlantic.com/ideas/archive/2025/06/transgender-youth-skrmetti/683350/",4
"34","June 24, 2025 at 07:03AM","The Archaic Sex-Discrimination Case the Supreme Court Is Reviving - The Atlantic","all regions","gender identity","Tuesday",6,2025,"14792114867614311782",2025-06-24,"https://www.theatlantic.com/ideas/archive/2025/06/supreme-court-sex-discrimination-skrmetti/683296/",4
"35","June 24, 2025 at 11:33AM","The Archaic Sex-Discrimination Case the Supreme Court Is Reviving - The Atlantic","all regions","transgender","Tuesday",6,2025,"1916116072231156194",2025-06-24,"https://www.theatlantic.com/ideas/archive/2025/06/supreme-court-sex-discrimination-skrmetti/683296/",4
"36","June 09, 2025 at 09:32AM","The Trump Administration's Nasty Campaign Against Trans People - The Atlantic","all regions","gender identity","Monday",6,2025,"14792114867614311782",2025-06-09,"https://www.theatlantic.com/ideas/archive/2025/06/trump-transgender-treatments-gender/683046/",4
"37","June 09, 2025 at 10:16AM","The Trump Administration's Nasty Campaign Against Trans People - The Atlantic","all regions","transgender","Monday",6,2025,"1916116072231156194",2025-06-09,"https://www.theatlantic.com/ideas/archive/2025/06/trump-transgender-treatments-gender/683046/",4
"38","April 18, 2025 at 02:56PM","Britain Rules on What a Woman Is - The Atlantic","all regions","biological sex","Friday",4,2025,"17630397442231169432",2025-04-18,"https://www.theatlantic.com/ideas/archive/2025/04/britain-rules-woman-supreme-court/682511/",4
"39","April 18, 2025 at 02:56PM","Britain Rules on What a Woman Is - The Atlantic","all regions","gender identity","Friday",4,2025,"14792114867614311782",2025-04-18,"https://www.theatlantic.com/ideas/archive/2025/04/britain-rules-woman-supreme-court/682511/",4
"40","June 29, 2025 at 11:37AM","The Liberal Misinformation Bubble About Youth Gender Medicine - The Atlantic","USA","transgender","Sunday",6,2025,"11193014132467407489",2025-06-29,"https://www.theatlantic.com/ideas/archive/2025/06/transgender-youth-skrmetti/683350/",4
"41","June 29, 2025 at 10:07AM","The Liberal Misinformation Bubble About Youth Gender Medicine - The Atlantic","USA","gender identity","Sunday",6,2025,"4028362110021709687",2025-06-29,"https://www.theatlantic.com/ideas/archive/2025/06/transgender-youth-skrmetti/683350/",4
"42","June 24, 2025 at 08:33AM","The Archaic Sex-Discrimination Case the Supreme Court Is Reviving - The Atlantic","USA","gender identity","Tuesday",6,2025,"4028362110021709687",2025-06-24,"https://www.theatlantic.com/ideas/archive/2025/06/supreme-court-sex-discrimination-skrmetti/683296/",4
"43","June 24, 2025 at 09:28AM","The Archaic Sex-Discrimination Case the Supreme Court Is Reviving - The Atlantic","USA","transgender","Tuesday",6,2025,"11193014132467407489",2025-06-24,"https://www.theatlantic.com/ideas/archive/2025/06/supreme-court-sex-discrimination-skrmetti/683296/",4
"44","June 09, 2025 at 09:32AM","The Trump Administration's Nasty Campaign Against Trans People - The Atlantic","USA","gender identity","Monday",6,2025,"4028362110021709687",2025-06-09,"https://www.theatlantic.com/ideas/archive/2025/06/trump-transgender-treatments-gender/683046/",4
"45","June 09, 2025 at 11:02AM","The Trump Administration's Nasty Campaign Against Trans People - The Atlantic","USA","transgender","Monday",6,2025,"11193014132467407489",2025-06-09,"https://www.theatlantic.com/ideas/archive/2025/06/trump-transgender-treatments-gender/683046/",4
"46","March 19, 2024 at 10:16AM","The Worst Argument for Youth Transition - The Atlantic","USA","gender identity","Tuesday",3,2024,"4028362110021709687",2024-03-19,"https://www.theatlantic.com/ideas/archive/2024/03/trans-youth-transition-andrea-long-chu/677796/",4
"47","March 19, 2024 at 10:06PM","The Worst Argument for Youth Transition - The Atlantic","USA","transgender","Tuesday",3,2024,"11193014132467407489",2024-03-19,"https://www.theatlantic.com/ideas/archive/2024/03/trans-youth-transition-andrea-long-chu/677796/",4
"48","March 19, 2024 at 10:16AM","The Worst Argument for Youth Transition - The Atlantic","all regions","gender identity","Tuesday",3,2024,"14792114867614311782",2024-03-19,"https://www.theatlantic.com/ideas/archive/2024/03/trans-youth-transition-andrea-long-chu/677796/",4
"49","May 01, 2023 at 04:40PM","What Readers Really Think About Gender - The Atlantic","all regions","biological sex","Monday",5,2023,"17630397442231169432",2023-05-01,"https://www.theatlantic.com/newsletters/archive/2023/05/what-readers-really-think-about-gender/673920/",4
"50","May 01, 2023 at 04:40PM","What Readers Really Think About Gender - The Atlantic","all regions","gender identity","Monday",5,2023,"14792114867614311782",2023-05-01,"https://www.theatlantic.com/newsletters/archive/2023/05/what-readers-really-think-about-gender/673920/",4
"51","May 01, 2023 at 04:06PM","What Readers Really Think About Gender - The Atlantic","USA","biological sex","Monday",5,2023,"16843718063138847601",2023-05-01,"https://www.theatlantic.com/newsletters/archive/2023/05/what-readers-really-think-about-gender/673920/",4
"52","May 01, 2023 at 04:40PM","What Readers Really Think About Gender - The Atlantic","USA","gender identity","Monday",5,2023,"4028362110021709687",2023-05-01,"https://www.theatlantic.com/newsletters/archive/2023/05/what-readers-really-think-about-gender/673920/",4
"53","March 19, 2024 at 07:05PM","The Worst Argument for Youth Transition - The Atlantic",NA,"gender ideology","Tuesday",3,2024,"8717893479030415655",2024-03-19,"https://www.theatlantic.com/ideas/archive/2024/03/trans-youth-transition-andrea-long-chu/677796/",4
"54","March 3, 2026 at 10:34AM","In Defense of Effeminate Gay Boys - The Atlantic","all regions","gender identity","Tuesday",3,2026,"14792114867614311782",2026-03-03,"https://www.theatlantic.com/ideas/2026/03/gay-boys-lgbtq-trans/686179/",3
"55","March 3, 2026 at 10:39AM","In Defense of Effeminate Gay Boys - The Atlantic","all regions","biological sex","Tuesday",3,2026,"17630397442231169432",2026-03-03,"https://www.theatlantic.com/ideas/2026/03/gay-boys-lgbtq-trans/686179/",3
"56","March 3, 2026 at 07:00AM","In Defense of Effeminate Gay Boys - The Atlantic","USA","gender identity","Tuesday",3,2026,"4028362110021709687",2026-03-03,"https://www.theatlantic.com/ideas/2026/03/gay-boys-lgbtq-trans/686179/",3
"57","January 13, 2026 at 04:06PM","Texas Sends Plato Back to His Cave - The Atlantic","all regions","gender identity","Tuesday",1,2026,"14792114867614311782",2026-01-13,"https://www.theatlantic.com/ideas/2026/01/texas-censorship-plato-philosophy-sexuality/685597/",3
"58","January 13, 2026 at 05:36PM","Texas Sends Plato Back to His Cave - The Atlantic","USA","gender identity","Tuesday",1,2026,"4028362110021709687",2026-01-13,"https://www.theatlantic.com/ideas/2026/01/texas-censorship-plato-philosophy-sexuality/685597/",3
"59","April 21, 2023 at 05:28PM","How the Gender Debate Veered Off Track - The Atlantic","USA","gender identity","Friday",4,2023,"4028362110021709687",2023-04-21,"https://www.theatlantic.com/newsletters/archive/2023/04/how-the-gender-debate-veered-off-track/673819/",3
"60","January 29, 2025 at 09:45AM","The Attack on Trans Rights Won't End There - The Atlantic","all regions","biological sex","Wednesday",1,2025,"17630397442231169432",2025-01-29,"https://www.theatlantic.com/ideas/archive/2025/01/trans-rights-skrmetti-trump/681485/",3
"61","January 29, 2025 at 09:45AM","The Attack on Trans Rights Won't End There - The Atlantic","USA","biological sex","Wednesday",1,2025,"16843718063138847601",2025-01-29,"https://www.theatlantic.com/ideas/archive/2025/01/trans-rights-skrmetti-trump/681485/",3
"62","January 29, 2025 at 09:45AM","The Attack on Trans Rights Won't End There - The Atlantic","USA","gender identity","Wednesday",1,2025,"4028362110021709687",2025-01-29,"https://www.theatlantic.com/ideas/archive/2025/01/trans-rights-skrmetti-trump/681485/",3
"63","October 24, 2024 at 03:08AM","The Positions That the Democrats Won't Defend - The Atlantic","USA","gender identity","Thursday",10,2024,"4028362110021709687",2024-10-24,"https://www.theatlantic.com/politics/archive/2024/10/trump-rachel-levine-trans-issues/680333/",3
"64","October 24, 2024 at 06:09AM","The Positions That the Democrats Won't Defend - The Atlantic","all regions","gender identity","Thursday",10,2024,"14792114867614311782",2024-10-24,"https://www.theatlantic.com/politics/archive/2024/10/trump-rachel-levine-trans-issues/680333/",3
"65","April 21, 2023 at 05:28PM","How the Gender Debate Veered Off Track - The Atlantic","all regions","gender identity","Friday",4,2023,"14792114867614311782",2023-04-21,"https://www.theatlantic.com/newsletters/archive/2023/04/how-the-gender-debate-veered-off-track/673819/",3
"66","January 13, 2026 at 04:06PM","Texas Sends Plato Back to His Cave - The Atlantic",NA,"gender ideology","Tuesday",1,2026,"8717893479030415655",2026-01-13,"https://www.theatlantic.com/ideas/2026/01/texas-censorship-plato-philosophy-sexuality/685597/",3
"67","April 21, 2023 at 05:28PM","How the Gender Debate Veered Off Track - The Atlantic",NA,"transgenderism","Friday",4,2023,"15658552694435684511",2023-04-21,"https://www.theatlantic.com/newsletters/archive/2023/04/how-the-gender-debate-veered-off-track/673819/",3
"68","October 24, 2024 at 03:08AM","The Positions That the Democrats Won't Defend - The Atlantic",NA,"gender ideology","Thursday",10,2024,"8717893479030415655",2024-10-24,"https://www.theatlantic.com/politics/archive/2024/10/trump-rachel-levine-trans-issues/680333/",3
"69","March 3, 2026 at 08:04PM","In Defense of Effeminate Boys - The Atlantic","all regions","transgender","Tuesday",3,2026,"1916116072231156194",2026-03-03,"https://www.theatlantic.com/ideas/2026/03/gay-boys-lgbtq-trans/686179/",2
